,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALABAMA,"AMBERJACK, GREATER","118,047",54,,Public,Recreational,,168689,MRIP
2022,ALABAMA,"AMBERJACK, GREATER","23,447",11,"38,422",Public,Commercial,Seriola dumerili,168689,GULFFIN
2022,ALABAMA,"AMBERJACK, LESSER",,,,Confidential,Commercial,Seriola fasciata,168690,GULFFIN
2022,ALABAMA,ANCHOVIES **,,,,Confidential,Commercial,Engraulidae,553173,GULFFIN
2022,ALABAMA,"BARRACUDA, GREAT","14,063",6,,Public,Recreational,,650251,MRIP
2022,ALABAMA,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","16,683",8,"44,302",Public,Commercial,Sphyraenidae,170424,GULFFIN
2022,ALABAMA,BARRELFISH,,,,Confidential,Commercial,Hyperoglyphe perciformis,172512,GULFFIN
2022,ALABAMA,"BASS, BANK SEA",9,0,,Public,Recreational,,167690,MRIP
2022,ALABAMA,"BASS, LONGTAIL",,,,Public,Recreational,,167800,MRIP
2022,ALABAMA,"BASS, LONGTAIL",,,,Confidential,Commercial,Hemanthias leptus,167800,GULFFIN
2022,ALABAMA,"BASS, ROCK SEA",,,,Confidential,Commercial,Centropristis philadelphica,167691,GULFFIN
2022,ALABAMA,"BASS, STRIPED",,,,Public,Recreational,,167680,MRIP
2022,ALABAMA,BIGEYE,,,,Confidential,Commercial,Priacanthus arenatus,168178,GULFFIN
2022,ALABAMA,"BIGEYE, SHORT",154,0,,Public,Recreational,,168190,MRIP
2022,ALABAMA,BLUEFISH,"339,585",154,,Public,Recreational,,168559,MRIP
2022,ALABAMA,BLUEFISH,"31,457",14,"18,168",Public,Commercial,Pomatomus saltatrix,168559,GULFFIN
2022,ALABAMA,"BONITO, ATLANTIC","9,072",4,,Public,Recreational,,172409,MRIP
2022,ALABAMA,"BROTULA, BEARDED",,,,Confidential,Commercial,Brotula barbata,164818,GULFFIN
2022,ALABAMA,BUFFALOFISHES **,"45,124",20,"15,274",Public,Commercial,Ictiobus,163954,GULFFIN
2022,ALABAMA,"BUMPER, ATLANTIC","32,887",15,"21,178",Public,Commercial,Chloroscombrus chrysurus,168670,GULFFIN
2022,ALABAMA,BUTTERFISH,"278,481",126,"95,643",Public,Commercial,Peprilus triacanthus,172567,GULFFIN
2022,ALABAMA,"CARP, COMMON",,,,Confidential,Commercial,Cyprinus carpio,163344,GULFFIN
2022,ALABAMA,"CATFISH, BLUE",273,0,,Public,Recreational,,163997,MRIP
2022,ALABAMA,"CATFISH, BLUE",,,,Confidential,Commercial,Ictalurus furcatus,163997,GULFFIN
2022,ALABAMA,"CATFISH, CHANNEL",,,,Confidential,Commercial,Ictalurus punctatus,163998,GULFFIN
2022,ALABAMA,"CATFISH, GAFFTOPSAIL","394,449",179,,Public,Recreational,,164159,MRIP
2022,ALABAMA,"CATFISH, HARDHEAD","115,101",52,,Public,Recreational,,680665,MRIP
2022,ALABAMA,"CATFISHES, FORKTAIL **","2,387",1,"1,533",Public,Commercial,Ictalurus,163996,GULFFIN
2022,ALABAMA,"CATFISHES, SEA **","14,163",6,"8,935",Public,Commercial,Ariidae,164157,GULFFIN
2022,ALABAMA,"CHUB, BERMUDA",,,,Confidential,Commercial,Kyphosus sectator,645471,GULFFIN
2022,ALABAMA,CHUBS **,,,,Confidential,Commercial,Coregonus,161932,GULFFIN
2022,ALABAMA,COBIA,"3,118",1,"9,275",Public,Commercial,Rachycentron canadum,168566,GULFFIN
2022,ALABAMA,COBIA,"150,430",68,,Public,Recreational,,168566,MRIP
2022,ALABAMA,"CRAB, BLUE","917,856",416,"1,188,230",Public,Commercial,Callinectes sapidus,98696,GULFFIN
2022,ALABAMA,"CRAB, FLORIDA STONE",,,,Confidential,Commercial,Menippe mercenaria,98811,GULFFIN
2022,ALABAMA,"CRABS, DECAPODA (ORDER) **",,,,Confidential,Commercial,Decapoda,95599,GULFFIN
2022,ALABAMA,CREOLE-FISH,176,0,,Public,Recreational,,167838,MRIP
