Environment,Species,2018 (tonnes),2020 (t),2020(g),2020 (%),Generic estimated mean weight (GEMW) lower (g),Generic estimated mean weight (GEMW) upper (g),Type of weight,Estimated numbers - Lower bound,Estimated numbers - Upper bound,Lower bound in %,Upper bound in %,Clade
Marine,Acetes erythraeus,3535,6020,6020000000,0.18%,0.0085,0.2873,"WW, estimated",20953706927,708235294118,0.518%,0.984%,Sergestid
Marine,Acetes japonicus,438663,251093,251093000000,7.42%,0.005,0.07,WW,3587042857143,50218600000000,88.669%,69.739%,Sergestid
Marine,Alpheus glaber,,0.01,10000,0.00%,0.4,3.2,"WW, estimated",3125,25000,0.000%,0.000%,Caridean
Marine,Aristaeomorpha foliacea,2575,1997.18,1997180000,0.06%,5.7,39.19,WW,50961470,350382456,0.001%,0.000%,Penaeid
Marine,Aristeidae,0,23.82,23820000,0.00%,5.7,39.19,"WW, estimated",607808,4178947,0.000%,0.000%,Penaeid
Marine,Aristeus antennatus,4513,2517.2,2517200000,0.07%,14.8,29.9,WW,84187291,170081081,0.002%,0.000%,Penaeid
Marine,Aristeus varidens,3058,5398.45,5398450000,0.16%,25,27,Unspecified,199942593,215938000,0.005%,0.000%,Penaeid
Marine,Artemesia longinaris,2856,2848.14,2848140000,0.08%,1,2.3,"WW, estimated",1238321739,2848140000,0.031%,0.004%,Penaeid
Marine,Crangon crangon,51179,30219.65,30219650000,0.89%,0.1,0.8,"WW, estimated",37774562500,302196500000,0.934%,0.420%,Caridean
Marine,Crangon spp,,2.37,2370000,0.00%,0.1,0.8,"WW, estimated",2962500,23700000,0.000%,0.000%,Caridean
Freshwater,Cryphiops caementarius,1141,624.9,624900000,0.02%,0.76,3.87,WW,161472868,822236842,0.004%,0.001%,Caridean
Freshwater,Exopalaemon modestus (Palaemon modestus),108335,65745.5,65745500000,1.94%,1,1.8,WW,36525277778,65745500000,0.903%,0.091%,Caridean
Marine,Haliporoides diomedeae,84,8,8000000,0.00%,10,35,"WW, estimated",228571,800000,0.000%,0.000%,Penaeid
Marine,Haliporoides triarthrus,2000,68.3,68300000,0.00%,10,40,WW,1707500,6830000,0.000%,0.000%,Penaeid
Marine,Heterocarpus ensifer,,0.05,50000,0.00%,4.7,18.3,WW,2732,10638,0.000%,0.000%,Caridean
Marine,Heterocarpus grimaldii,,8.78,8780000,0.00%,10,20,"WW, estimated",439000,878000,0.000%,0.000%,Caridean
Marine,Heterocarpus reedi,5288,4044,4044000000,0.12%,5,18,"WW, estimated",224666667,808800000,0.006%,0.001%,Caridean
Freshwater,Macrobrachium nipponense,108336,65745.5,65745500000,1.94%,1,8,"WW, estimated",8218187500,65745500000,0.203%,0.091%,Caridean
Freshwater,Macrobrachium rosenbergii,16766,12193.66,12193660000,0.36%,10,50,"WW, estimated",243873200,1219366000,0.006%,0.002%,Caridean
Freshwater,Macrobrachium spp,9687,8512.56,8512560000,0.25%,10,30,"WW, estimated",283752000,851256000,0.007%,0.001%,Caridean
Marine,Metapenaeus dalli,,1936,1936000000,0.06%,6,13,WW,148923077,322666667,0.004%,0.000%,Penaeid
Marine,Metapenaeus endeavouri,1981,1935.88,1935880000,0.06%,10,30,"WW, estimated",64529333,193588000,0.002%,0.000%,Penaeid
Marine,Metapenaeus joyneri,1149,1478.95,1478950000,0.04%,5,15,"WW, adjusted & estimated",98596667,295790000,0.002%,0.000%,Penaeid
Marine,Metapenaeus macleayi,,652.63,652630000,0.02%,3,12,"WW, estimated",54385833,217543333,0.001%,0.000%,Penaeid
Marine,Metapenaeus monoceros,1730,1732.77,1732770000,0.05%,4,42,"WW, estimated",41256429,433192500,0.001%,0.001%,Penaeid
Marine,Metapenaeus spp,85848,108209.9,108209900000,3.20%,5,18,"WW, adjusted & estimated",6011661111,21641980000,0.149%,0.030%,Penaeid
Marine,Natantia,912070.51,874659.9,874659900000,25.83%,6.6,21.6,"WW, estimated",40493513889,132524227273,1.001%,0.184%,Penaeid
Marine,Nematopalaemon schmitti,1574,1290,1290000000,0.04%,2,2.5,WW,516000000,645000000,0.013%,0.001%,Caridean
Marine,Palaemon adspersus,517,679.64,679640000,0.02%,0.16,1.1,"WW, estimated",617854545,4247750000,0.015%,0.006%,Caridean
Marine,Palaemon elegans,,0.56,560000,0.00%,0.099,1.088,WW,514706,5656566,0.000%,0.000%,Caridean
Marine,Palaemon longirostris,5,11.79,11790000,0.00%,0.01,1.3,WW,9069231,1179000000,0.000%,0.002%,Caridean
